order_id,customer_id,product_id,order_date,quantity,price,region,status
O100173,C01530,P002,2023-09-12,1,33.59,East,PLACED
O100174,C02039,P001,2023-04-02,1,19.51,North,RETURNED
O100175,C01497,P005,2023-10-06,3,53.46,South,PLACED
O100176,C02238,P003,2023-07-25,1,9.73,East,PLACED
O100177,C01409,P005,2023-04-04,1,52.54,South,PLACED
O100178,C01401,P003,2023-08-13,1,10.26,South,PLACED
O100179,C01307,P003,2023-10-28,1,9.46,Central,PLACED
O100180,C02681,P004,2023-11-14,1,15.74,East,SHIPPED
O100181,C02676,P001,2023-07-18,2,19.09,North,PLACED
O100182,C00973,P004,2023-09-28,1,14.69,East,PLACED
O100183,C01769,P001,2023-08-22,1,20.25,North,RETURNED
O100184,C01283,P003,2023-02-15,1,9.31,South,SHIPPED
O100185,C00710,P003,2023-03-05,1,10.49,South,PLACED
O100186,C01480,P004,2023-08-18,1,14.23,Central,PLACED
O100187,C01435,P004,2023-09-06,1,14.85,Central,PLACED
O100188,C00649,P001,2023-09-03,1,20.24,North,PLACED
O100189,C00318,P001,2023-03-16,1,19.11,South,PLACED
O100190,C01258,P005,2023-06-06,1,51.09,North,PLACED
O100191,C00684,P003,2023-08-11,1,10.54,Central,PLACED
O100192,C00664,P005,2023-07-09,1,47.17,South,PLACED
O100193,C01999,P004,2023-02-21,1,15.35,South,PLACED
O100194,C01632,P001,2023-03-29,1,17.87,East,PLACED
O100195,C01496,P003,2023-11-09,1,9.94,North,PLACED
O100196,C01137,P003,2023-12-05,1,9.86,South,PLACED
O100197,C01854,P002,2023-03-07,1,28.14,North,SHIPPED
O100198,C01521,P003,2023-05-30,2,10.32,Central,PLACED
O100199,C02490,P004,2023-01-20,1,14.62,Central,RETURNED
O100200,C00564,P002,2023-02-02,2,30.01,South,PLACED
O100201,C01292,P002,2023-11-24,1,28.24,South,SHIPPED
O100202,C01637,P004,2023-10-08,1,16.28,North,PLACED
O100203,C00699,P002,2023-02-15,1,27.74,East,RETURNED
O100204,C02161,P004,2023-03-14,1,15.26,South,CANCELLED
O100205,C00002,P003,2023-12-20,1,10.5,South,SHIPPED
O100206,C00642,P001,2023-11-09,1,20.05,West,PLACED
O100207,C02268,P001,2023-12-09,1,19.36,West,PLACED
O100208,C01590,P002,2023-05-13,2,29.63,South,SHIPPED
O100209,C00855,P004,2023-02-24,1,14.19,East,PLACED
O100210,C01760,P003,2023-03-02,1,10.11,South,PLACED
O100211,C02433,P002,2023-12-11,1,30.7,North,PLACED
O100212,C01662,P002,2023-01-08,1,28.84,West,PLACED
O100213,C01154,P003,2023-09-29,1,9.59,East,PLACED
O100214,C01077,P001,2023-09-03,3,21.29,East,SHIPPED
O100215,C01708,P003,2023-06-25,1,10.35,Central,PLACED
O100216,C02778,P004,2023-04-26,1,15.72,Central,CANCELLED
O100217,C01696,P003,2023-11-13,3,9.43,North,PLACED
O100218,C01734,P001,2023-09-28,5,20.89,East,PLACED
O100219,C01440,P002,2023-07-12,1,29.29,Central,PLACED
O100220,C02295,P003,2023-05-30,2,9.72,North,CANCELLED
O100221,C00836,P001,2023-05-11,3,19.56,Central,PLACED
O100222,C00203,P004,2023-04-12,1,14.26,East,PLACED
O100223,C00123,P003,2023-11-06,1,9.25,West,PLACED
O100224,C00401,P005,2023-09-27,1,54.65,Central,SHIPPED
O100225,C00767,P001,2023-10-19,1,19.67,West,PLACED
O100226,C00294,P005,2023-07-29,1,51.57,South,PLACED
O100227,C02328,P003,2023-12-27,1,10.61,North,PLACED
O100228,C02932,P004,2023-12-04,1,15.16,North,PLACED
O100229,C00198,P005,2023-03-08,1,51.56,Central,SHIPPED
O100230,C01931,P002,2023-01-10,1,32.98,East,SHIPPED
O100231,C02800,P004,2023-02-18,1,15.2,North,PLACED
O100232,C02192,P003,2023-04-21,3,10.03,Central,RETURNED
O100233,C00609,P003,2023-11-17,1,10.1,North,PLACED
O100234,C01148,P003,2023-08-07,1,9.87,Central,PLACED
O100235,C00187,P003,2023-02-26,2,9.52,West,SHIPPED
O100236,C02512,P003,2023-10-10,1,9.45,West,PLACED
O100237,C01795,P003,2023-04-23,1,9.73,Central,PLACED
O100238,C00660,P002,2023-05-13,1,32.03,South,SHIPPED
O100239,C02812,P004,2023-03-12,1,14.55,West,PLACED
O100240,C01956,P002,2023-03-24,1,29.66,Central,PLACED
O100241,C02451,P005,2023-02-26,1,49.4,East,PLACED
O100242,C01370,P004,2023-12-15,1,15.21,Central,RETURNED
O100243,C01987,P001,2023-09-28,2,19.17,East,PLACED
O100244,C01535,P003,2023-04-21,1,10.14,South,CANCELLED
O100245,C00147,P004,2023-12-23,2,15.82,Central,PLACED
O100246,C02912,P005,2023-03-17,1,49.15,East,PLACED
O100247,C01735,P004,2023-06-07,1,14.8,West,PLACED
O100248,C01844,P004,2023-01-20,1,14.52,South,PLACED
O100249,C00489,P005,2023-05-11,1,45.75,West,RETURNED
O100250,C02977,P002,2023-11-25,1,29.6,North,PLACED
O100251,C01960,P003,2023-05-02,2,10.0,Central,PLACED
O100252,C01664,P005,2023-02-10,1,51.98,East,PLACED
O100253,C02599,P001,2023-06-16,1,18.29,South,PLACED
O100254,C02386,P003,2023-05-10,1,10.05,South,PLACED
O100255,C02920,P002,2023-01-23,1,29.42,South,PLACED
O100256,C00641,P001,2023-10-06,1,20.13,North,PLACED
O100257,C01803,P002,2023-09-08,2,27.01,West,PLACED
O100258,C02521,P005,2023-01-09,1,48.1,North,SHIPPED
O100259,C01970,P004,2023-01-13,3,13.93,West,SHIPPED
O100260,C02199,P005,2023-11-03,1,47.24,South,PLACED
O100261,C01439,P004,2023-11-16,3,16.34,West,PLACED
O100262,C01635,P004,2023-02-21,1,15.21,South,PLACED
O100263,C00263,P002,2023-07-28,1,30.77,North,PLACED
O100264,C01788,P001,2023-02-07,1,18.18,West,RETURNED
O100265,C02192,P002,2023-04-10,1,29.21,South,PLACED
O100266,C02394,P005,2023-07-12,1,48.84,West,CANCELLED
O100267,C00624,P001,2023-07-10,2,19.48,Central,PLACED
O100268,C01017,P002,2023-02-20,2,30.8,North,PLACED
O100269,C00881,P004,2023-05-21,2,14.06,South,PLACED
O100270,C02050,P004,2023-06-17,1,14.71,Central,PLACED
O100271,C02945,P005,2023-11-07,1,50.67,Central,PLACED
O100272,C01328,P003,2023-04-19,1,10.35,West,PLACED
O100273,C02302,P005,2023-07-26,1,50.24,Central,PLACED
O100274,C00453,P004,2023-10-27,1,15.81,Central,SHIPPED
O100275,C01184,P004,2023-04-20,1,14.73,South,PLACED
O100276,C02057,P004,2023-07-15,1,15.2,West,PLACED
O100277,C01683,P003,2023-06-01,1,9.37,South,PLACED
O100278,C02864,P003,2023-08-31,1,9.27,Central,PLACED
O100279,C02256,P004,2023-05-08,2,14.5,South,RETURNED
O100280,C01155,P003,2023-04-15,1,10.08,West,PLACED
O100281,C00404,P001,2023-01-10,5,21.48,East,PLACED
O100282,C02200,P002,2023-12-22,1,30.34,East,PLACED
O100283,C02102,P003,2023-05-28,1,9.97,East,PLACED
O100284,C01697,P005,2023-12-31,1,47.94,North,PLACED
O100285,C00628,P002,2023-12-30,1,30.69,South,PLACED
O100286,C00587,P002,2023-05-20,1,30.11,West,PLACED
O100287,C01649,P002,2023-07-09,1,30.73,South,SHIPPED
O100288,C01444,P001,2023-04-04,1,18.11,West,PLACED
O100289,C01446,P004,2023-08-17,3,14.39,East,PLACED
O100290,C00104,P005,2023-03-04,2,45.96,West,PLACED
O100291,C00254,P004,2023-12-06,2,16.24,North,PLACED
O100292,C02558,P002,2023-01-25,1,30.33,West,SHIPPED
O100293,C01497,P004,2023-09-25,1,14.8,Central,PLACED
O100294,C00099,P001,2023-10-08,1,20.07,Central,PLACED
O100295,C02201,P004,2023-01-11,5,14.6,West,PLACED
O100296,C01885,P001,2023-11-16,1,19.86,East,PLACED
O100297,C02962,P003,2023-07-20,1,10.91,West,CANCELLED
O100298,C01920,P004,2023-05-06,1,15.35,Central,SHIPPED
O100299,C00878,P005,2023-11-02,3,52.5,Central,RETURNED
O100300,C00338,P002,2023-07-09,3,27.89,West,PLACED
O100301,C02870,P002,2023-03-30,1,32.28,East,CANCELLED
O100302,C00957,P004,2023-12-21,2,16.96,West,PLACED
O100303,C01705,P001,2023-04-26,1,21.67,West,SHIPPED
O100304,C00161,P003,2023-12-18,1,10.08,West,PLACED
O100305,C01604,P002,2023-06-26,5,27.97,West,PLACED
O100306,C02849,P002,2023-01-14,3,29.02,Central,PLACED
O100307,C00398,P005,2023-09-14,1,48.56,North,PLACED
O100308,C01301,P004,2023-07-28,1,15.07,Central,PLACED
O100309,C00816,P005,2023-10-08,1,48.94,North,PLACED
O100310,C01528,P001,2023-11-24,1,19.71,West,SHIPPED
O100311,C01920,P002,2023-11-21,1,30.81,West,PLACED
O100312,C01416,P002,2023-04-15,2,30.77,North,SHIPPED
O100313,C01159,P003,2023-05-27,1,10.27,West,PLACED
O100314,C01219,P003,2023-10-06,1,9.83,South,CANCELLED
O100315,C00401,P004,2023-01-09,1,15.46,East,PLACED
O100316,C00640,P003,2023-04-28,1,10.8,West,PLACED
O100317,C02736,P003,2023-04-04,3,9.64,West,SHIPPED
O100318,C00460,P003,2023-05-24,1,10.15,North,PLACED
O100319,C00955,P004,2023-10-16,1,15.56,North,PLACED
O100320,C00470,P005,2023-01-14,1,49.18,North,PLACED
O100321,C01046,P003,2023-09-14,1,10.33,South,PLACED
O100322,C02798,P001,2023-12-12,1,19.02,North,SHIPPED
O100323,C01694,P001,2023-07-05,1,21.35,South,PLACED
O100324,C02086,P002,2023-12-11,1,31.58,North,PLACED
O100325,C02278,P005,2023-07-26,1,49.38,South,PLACED
O100326,C00563,P002,2023-12-12,1,28.53,South,CANCELLED
O100327,C02486,P004,2023-06-21,1,14.41,North,PLACED
O100328,C01800,P005,2023-09-27,1,50.05,South,PLACED
O100329,C02075,P004,2023-08-09,1,14.68,East,SHIPPED
O100330,C00226,P003,2023-06-01,1,9.82,South,PLACED
O100331,C00798,P005,2023-04-21,1,53.06,Central,PLACED
O100332,C02332,P001,2023-07-02,1,19.62,South,CANCELLED
O100333,C02927,P003,2023-12-05,1,9.9,North,PLACED
O100334,C00960,P005,2023-03-13,2,47.79,North,PLACED
O100335,C01505,P003,2023-10-10,1,9.66,Central,PLACED
O100336,C00453,P004,2023-03-15,1,14.23,West,PLACED
O100337,C00816,P002,2023-12-21,3,27.53,North,PLACED
O100338,C00659,P005,2023-08-03,1,47.26,South,PLACED
O100339,C00547,P001,2023-11-24,1,19.45,East,PLACED
O100340,C01216,P005,2023-01-23,1,50.98,North,PLACED
O100341,C00017,P005,2023-03-09,3,45.68,North,PLACED
O100342,C01244,P003,2023-12-28,3,10.54,Central,PLACED
O100343,C02206,P004,2023-04-03,1,14.48,East,PLACED
O100344,C02525,P001,2023-11-17,1,20.87,Central,PLACED
O100345,C01070,P003,2023-11-20,1,10.85,North,PLACED
O100346,C02566,P004,2023-03-04,1,14.43,West,PLACED
O100347,C02147,P001,2023-08-12,1,19.18,West,CANCELLED
O100348,C01769,P003,2023-08-13,1,10.1,West,CANCELLED
O100349,C01061,P002,2023-12-12,2,30.88,West,PLACED
O100350,C02328,P002,2023-12-03,1,28.84,Central,RETURNED
O100351,C02545,P003,2023-04-13,3,9.63,Central,SHIPPED
O100352,C00302,P005,2023-08-03,2,50.05,West,PLACED
O100353,C00181,P004,2023-07-11,1,15.62,West,PLACED
O100354,C00607,P005,2023-06-09,1,54.64,East,PLACED
O100355,C00700,P003,2023-07-26,2,9.64,South,PLACED
O100356,C00993,P001,2023-09-26,1,20.56,East,PLACED
O100357,C01140,P004,2023-07-13,1,15.75,South,PLACED
O100358,C00191,P004,2023-06-01,3,14.16,Central,PLACED
O100359,C02301,P005,2023-08-25,2,50.86,West,PLACED
O100360,C00981,P003,2023-03-29,2,10.23,North,SHIPPED
O100361,C02976,P004,2023-01-11,1,14.76,East,PLACED
O100362,C02007,P002,2023-07-06,2,31.47,West,PLACED
O100363,C01185,P002,2023-08-02,1,30.57,East,PLACED
O100364,C00128,P003,2023-01-15,1,10.49,East,PLACED
O100365,C02066,P003,2023-09-23,2,11.54,Central,PLACED
O100366,C01817,P003,2023-10-24,1,10.07,Central,PLACED
O100367,C01759,P001,2023-03-14,1,20.96,Central,PLACED
O100368,C02614,P002,2023-02-21,1,30.1,North,PLACED
O100369,C00570,P002,2023-05-08,1,30.0,West,SHIPPED
O100370,C01347,P004,2023-01-28,1,16.2,Central,PLACED
O100371,C01896,P002,2023-03-06,1,29.41,West,PLACED
O100372,C02734,P004,2023-01-17,3,15.39,West,RETURNED
O100373,C00626,P001,2023-12-17,1,21.37,North,PLACED
O100374,C02902,P003,2023-05-18,1,10.41,South,PLACED
O100375,C01687,P004,2023-11-15,3,15.39,South,PLACED
O100376,C00155,P003,2023-08-17,1,10.04,Central,PLACED
O100377,C02538,P003,2023-09-11,1,9.52,West,PLACED
O100378,C01410,P005,2023-07-29,1,49.55,Central,PLACED
O100379,C00785,P003,2023-10-21,1,10.38,West,PLACED
O100380,C00246,P005,2023-08-19,3,49.51,East,PLACED
O100381,C01501,P003,2023-08-29,2,9.93,West,RETURNED
O100382,C01706,P003,2023-03-11,1,10.28,East,PLACED
O100383,C02807,P003,2023-04-14,1,9.51,South,PLACED
O100384,C00538,P001,2023-07-23,1,22.13,South,PLACED
O100385,C01891,P003,2023-02-22,1,9.61,North,SHIPPED
O100386,C01842,P005,2023-11-26,1,49.86,South,SHIPPED
O100387,C00921,P002,2023-02-23,1,29.26,South,PLACED
O100388,C02456,P004,2023-10-03,1,15.81,East,PLACED
O100389,C00525,P005,2023-12-01,2,45.37,Central,SHIPPED
O100390,C02876,P005,2023-01-31,1,44.3,East,PLACED
O100391,C01530,P001,2023-05-15,1,19.78,South,PLACED
O100392,C02951,P003,2023-02-27,1,9.39,South,PLACED
O100393,C00036,P003,2023-04-15,1,9.67,South,CANCELLED
O100394,C00685,P003,2023-09-23,1,10.08,North,SHIPPED
O100395,C00020,P005,2023-01-10,1,52.44,South,CANCELLED
O100396,C02369,P003,2023-09-10,1,9.47,North,PLACED
O100397,C02560,P001,2023-10-22,1,20.14,Central,PLACED
O100398,C00400,P003,2023-06-05,1,10.1,South,PLACED
O100399,C02702,P004,2023-06-07,1,14.54,North,CANCELLED
O100400,C00972,P001,2023-02-06,3,20.12,Central,PLACED
O100401,C01907,P003,2023-04-29,5,10.06,West,PLACED
O100402,C02519,P004,2023-03-08,1,14.56,West,PLACED
O100403,C01167,P003,2023-08-30,1,10.31,South,PLACED
O100404,C01116,P001,2023-10-26,1,19.24,East,PLACED
O100405,C00834,P004,2023-08-01,1,14.92,North,PLACED
O100406,C01824,P001,2023-11-04,3,21.04,West,PLACED
O100407,C02775,P004,2023-04-11,1,14.81,North,PLACED
O100408,C01983,P005,2023-02-25,1,49.62,North,PLACED
O100409,C00854,P002,2023-11-28,1,28.53,South,PLACED
O100410,C00051,P005,2023-11-20,3,51.66,East,SHIPPED
O100411,C00575,P001,2023-08-27,1,19.07,South,SHIPPED
O100412,C01149,P001,2023-08-19,3,21.39,Central,PLACED
O100413,C02198,P004,2023-12-28,1,14.03,Central,PLACED
O100414,C02362,P005,2023-04-02,3,49.23,Central,PLACED
O100415,C02618,P002,2023-10-06,3,30.33,Central,PLACED
O100416,C02353,P004,2023-04-19,1,14.87,West,PLACED
O100417,C01716,P004,2023-11-13,1,14.56,East,PLACED
O100418,C00682,P005,2023-06-17,1,49.82,West,PLACED
O100419,C00838,P003,2023-10-27,1,10.84,Central,PLACED
O100420,C01078,P005,2023-08-06,3,47.1,North,SHIPPED
O100421,C02492,P005,2023-08-10,1,52.83,North,PLACED
O100422,C02661,P002,2023-06-10,1,28.99,South,SHIPPED
O100423,C02312,P003,2023-01-16,1,10.68,North,PLACED
O100424,C01596,P002,2023-10-05,5,32.09,South,SHIPPED
O100425,C00005,P002,2023-02-26,3,29.87,Central,PLACED
O100426,C01127,P001,2023-03-03,1,20.34,South,PLACED
O100427,C01220,P001,2023-12-29,1,21.5,West,PLACED
O100428,C00774,P004,2023-11-23,1,14.32,Central,PLACED
O100429,C00877,P004,2023-08-30,1,14.48,East,SHIPPED
O100430,C00992,P001,2023-03-31,1,18.12,South,SHIPPED
O100431,C02932,P003,2023-03-13,1,10.31,East,SHIPPED
O100432,C00047,P004,2023-11-22,1,15.87,North,PLACED
O100433,C02915,P002,2023-01-30,1,27.54,East,PLACED
O100434,C02871,P005,2023-12-25,1,48.56,South,PLACED
O100435,C02984,P004,2023-10-15,5,14.65,North,PLACED
O100436,C02704,P005,2023-03-27,1,51.67,South,PLACED
O100437,C00269,P002,2023-08-22,2,29.44,East,PLACED
O100438,C00370,P002,2023-08-23,1,29.07,North,SHIPPED
