order_id,customer_id,product_category,product_price,quantity,total_amount,payment_type,order_date,region
O000056,C01528,Electronics,375.9,2,751.8,Card,2024-08-17 00:00:00,West
O000057,C01154,Electronics,156.05,3,468.15,UPI,2024-01-11 03:00:00,East
O000058,C01508,Clothing,475.99,1,475.99,Card,2024-02-26 08:00:00,North
O000059,C01842,Books,358.59,1,358.59,Cash,2024-09-26 09:00:00,West
O000060,C00646,Books,166.74,2,333.48,UPI,2024-10-25 03:00:00,South
O000061,C00020,Electronics,148.32,1,148.32,Card,2024-10-27 07:00:00,East
O000062,C00840,Sports,264.23,5,1321.15,Card,2024-01-29 00:00:00,West
O000063,C00166,Beauty,44.18,1,44.18,Card,2024-08-27 20:00:00,West
O000064,C01297,Clothing,63.25,1,63.25,UPI,2024-04-14 06:00:00,South
O000065,C00387,Books,92.05,1,92.05,UPI,2023-08-19 16:00:00,North
O000066,C00600,Electronics,388.49,5,1942.45,UPI,2024-12-12 04:00:00,North
O000067,C00315,Beauty,259.36,3,778.08,Card,2024-08-24 05:00:00,East
O000068,C00013,Home,10.23,4,40.92,Card,2023-02-07 10:00:00,West
O000069,C00241,Beauty,338.39,1,338.39,Card,2024-02-16 15:00:00,North
O000070,C00776,Home,214.73,2,429.46,Card,2023-10-11 22:00:00,North
O000071,C01369,Clothing,257.87,2,515.74,Card,2023-08-15 22:00:00,West
O000072,C00564,Beauty,110.99,5,554.95,Cash,2023-03-18 07:00:00,South
O000073,C00897,Clothing,278.13,3,834.39,UPI,2023-08-21 16:00:00,North
O000074,C01363,Clothing,489.68,1,489.68,UPI,2023-04-14 09:00:00,North
O000075,C00091,Home,41.36,5,206.8,Card,2024-06-09 17:00:00,South
O000076,C01390,Home,145.54,4,582.16,Card,2023-09-14 20:00:00,West
O000077,C00955,Beauty,125.28,3,375.84,Card,2023-01-26 17:00:00,West
O000078,C01478,Electronics,128.03,3,384.09,Card,2024-06-27 00:00:00,South
O000079,C01451,Home,192.46,5,962.3,UPI,2024-12-29 00:00:00,West
O000080,C00508,Home,409.96,2,819.92,Card,2023-12-14 12:00:00,North
O000081,C00775,Electronics,456.87,3,1370.61,Wallet,2023-08-09 22:00:00,West
O000082,C01966,Clothing,105.1,2,210.2,Cash,2023-11-25 14:00:00,North
O000083,C00034,Clothing,273.76,3,821.28,Card,2023-11-21 13:00:00,West
O000084,C00205,Clothing,320.26,3,960.78,UPI,2024-11-18 08:00:00,South
O000085,C01104,Beauty,263.3,3,789.9,UPI,2023-08-11 04:00:00,North
O000086,C01955,Home,219.87,4,879.48,Card,2024-01-21 21:00:00,West
O000087,C01585,Home,100.03,2,200.06,Cash,2024-03-21 05:00:00,North
O000088,C01895,Beauty,246.67,4,986.68,Card,2024-01-22 21:00:00,West
O000089,C01411,Clothing,203.6,2,407.2,UPI,2024-05-21 19:00:00,North
O000090,C01025,Books,398.8,4,1595.2,Card,2024-01-18 04:00:00,North
O000091,C01021,Clothing,382.98,4,1531.92,Card,2023-10-23 12:00:00,West
O000092,C01413,Books,71.33,4,285.32,Card,2023-09-10 11:00:00,East
O000093,C00565,Electronics,48.82,5,244.1,Wallet,2023-10-09 07:00:00,South
O000094,C01129,Beauty,454.54,4,1818.16,Card,2023-08-07 07:00:00,North
O000095,C01795,Electronics,270.08,3,810.24,Card,2023-06-20 13:00:00,East
O000096,C01845,Clothing,429.61,1,429.61,Card,2023-07-06 21:00:00,South
O000097,C01500,Home,33.78,4,135.12,Card,2024-06-08 00:00:00,South
O000098,C00702,Clothing,265.63,1,265.63,UPI,2024-06-19 14:00:00,East
O000099,C00401,Home,272.02,1,272.02,UPI,2023-06-15 04:00:00,East
O000100,C00729,Clothing,431.05,3,1293.15,Wallet,2023-07-22 12:00:00,West
O000101,C01579,Home,53.32,1,53.32,UPI,2023-02-16 19:00:00,East
O000102,C00161,Electronics,124.02,1,124.02,Cash,2024-01-21 03:00:00,South
O000103,C00201,Electronics,206.24,1,206.24,UPI,2024-12-17 15:00:00,South
O000104,C01981,Clothing,433.59,2,867.18,Cash,2024-09-02 10:00:00,South
O000105,C00995,Sports,469.75,4,1879.0,Card,2024-12-24 10:00:00,North
O000106,C00269,Electronics,496.4,4,1985.6,Card,2023-04-30 02:00:00,South
O000107,C01886,Clothing,479.8,1,479.8,Cash,2024-12-12 02:00:00,West
O000108,C00815,Clothing,7.94,3,23.82,UPI,2023-06-02 07:00:00,West
O000109,C01294,Electronics,28.62,2,57.24,Wallet,2023-02-02 12:00:00,East
O000110,C00455,Sports,78.07,3,234.21,Card,2023-03-02 02:00:00,East
O000111,C01485,Books,177.69,3,533.07,Wallet,2024-09-19 18:00:00,South
O000112,C01750,Electronics,415.81,1,415.81,UPI,2023-11-22 18:00:00,East
O000113,C01275,Sports,446.86,5,2234.3,Card,2023-07-07 12:00:00,West
O000114,C01016,Home,97.48,1,97.48,Card,2024-03-09 01:00:00,East
O000115,C01725,Clothing,311.73,5,1558.65,Card,2024-03-11 13:00:00,North
O000116,C00295,Home,459.09,2,918.18,Cash,2023-05-11 00:00:00,East
O000117,C01748,Clothing,234.55,5,1172.75,UPI,2023-04-17 01:00:00,East
O000118,C00719,Sports,56.25,1,56.25,Cash,2024-11-06 17:00:00,North
O000119,C01772,Electronics,231.62,1,231.62,Card,2023-09-02 19:00:00,North
O000120,C00337,Home,191.02,3,573.06,Cash,2023-04-28 20:00:00,East
O000121,C00878,Home,290.94,1,290.94,Card,2024-09-06 22:00:00,East
O000122,C01076,Electronics,222.14,1,222.14,Card,2023-11-27 22:00:00,West
O000123,C00791,Clothing,13.59,4,54.36,Card,2024-08-30 11:00:00,North
O000124,C01945,Beauty,497.03,4,1988.12,Cash,2023-01-24 01:00:00,North
O000125,C00216,Clothing,274.05,3,822.15,Card,2024-03-24 12:00:00,North
O000126,C00763,Sports,239.45,5,1197.25,Card,2024-01-07 03:00:00,South
O000127,C00187,Beauty,477.54,5,2387.7,Card,2023-05-22 05:00:00,South
O000128,C00379,Home,82.15,4,328.6,Card,2024-05-12 06:00:00,West
O000129,C00492,Sports,98.67,2,197.34,Wallet,2023-08-10 15:00:00,East
O000130,C01064,Home,404.97,4,1619.88,UPI,2024-07-20 20:00:00,West
O000131,C01180,Books,134.11,2,268.22,UPI,2024-08-31 23:00:00,North
O000132,C00014,Sports,400.62,5,2003.1,Cash,2023-06-02 03:00:00,North
O000133,C01836,Sports,139.41,4,557.64,UPI,2023-08-08 07:00:00,North
O000134,C00064,Clothing,21.43,1,21.43,Wallet,2024-04-04 09:00:00,South
O000135,C01880,Beauty,260.92,2,521.84,Card,2024-08-01 19:00:00,North
O000136,C01862,Home,102.36,2,204.72,Cash,2023-11-05 10:00:00,East
O000137,C00520,Electronics,380.13,2,760.26,Card,2023-05-26 15:00:00,North
O000138,C01367,Books,322.39,5,1611.95,UPI,2024-11-04 20:00:00,North
O000139,C01152,Sports,462.18,3,1386.54,UPI,2023-09-16 04:00:00,South
O000140,C00647,Electronics,392.58,1,392.58,Card,2024-03-18 05:00:00,South
O000141,C01495,Sports,94.48,4,377.92,Card,2023-05-06 11:00:00,West
O000142,C01086,Clothing,401.08,2,802.16,Card,2024-01-25 20:00:00,West
O000143,C01162,Books,322.66,5,1613.3,Card,2024-07-05 10:00:00,North
O000144,C01522,Electronics,336.13,2,672.26,UPI,2023-04-24 23:00:00,West
O000145,C00592,Books,416.97,4,1667.88,Cash,2023-08-10 03:00:00,East
O000146,C00391,Sports,289.04,1,289.04,UPI,2023-07-20 13:00:00,South
O000147,C01698,Electronics,235.67,2,471.34,UPI,2024-06-21 22:00:00,North
O000148,C00418,Beauty,320.14,5,1600.7,Card,2023-10-02 21:00:00,East
O000149,C00288,Sports,152.49,5,762.45,Card,2023-01-08 10:00:00,North
O000150,C00378,Clothing,95.39,3,286.17,UPI,2024-12-26 21:00:00,North
O000151,C01796,Sports,310.21,5,1551.05,Cash,2023-07-20 05:00:00,North
O000152,C01513,Books,120.75,3,362.25,Wallet,2024-03-23 21:00:00,South
O000153,C00230,Clothing,44.56,1,44.56,Card,2023-09-21 19:00:00,East
O000154,C01017,Electronics,5.27,4,21.08,UPI,2023-05-29 16:00:00,West
O000155,C00040,Electronics,306.12,3,918.36,UPI,2023-07-04 07:00:00,East
O000156,C01051,Clothing,184.26,2,368.52,UPI,2024-06-25 20:00:00,West
O000157,C00134,Home,377.39,2,754.78,UPI,2023-06-16 02:00:00,East
O000158,C00200,Sports,190.71,4,762.84,UPI,2023-09-18 00:00:00,North
O000159,C01863,Electronics,245.57,5,1227.85,Card,2024-08-14 04:00:00,South
O000160,C00779,Electronics,206.51,2,413.02,Cash,2024-06-29 08:00:00,South
O000161,C00929,Clothing,327.03,3,981.09,Card,2023-01-13 21:00:00,East
O000162,C01056,Beauty,181.29,4,725.16,Card,2023-10-31 05:00:00,East
O000163,C01071,Clothing,482.06,2,964.12,Cash,2024-02-17 05:00:00,East
O000164,C00502,Beauty,468.39,5,2341.95,Card,2024-01-10 21:00:00,North
O000165,C00406,Sports,424.77,5,2123.85,Card,2024-05-23 19:00:00,East
O000166,C01597,Electronics,460.55,2,921.1,Card,2023-03-20 20:00:00,North
O000167,C01751,Books,227.32,4,909.28,UPI,2024-02-01 14:00:00,North
O000168,C00804,Sports,270.53,1,270.53,Card,2023-03-21 21:00:00,South
O000169,C00098,Home,372.34,2,744.68,Card,2023-09-28 19:00:00,East
O000170,C00683,Beauty,349.59,5,1747.95,Card,2024-08-01 06:00:00,North
O000171,C01895,Electronics,445.89,1,445.89,Wallet,2024-06-09 02:00:00,South
O000172,C00725,Electronics,359.58,4,1438.32,Card,2023-04-04 09:00:00,South
O000173,C01570,Home,498.95,5,2494.75,UPI,2024-05-24 16:00:00,North
O000174,C00960,Clothing,177.51,4,710.04,Card,2023-06-15 18:00:00,East
O000175,C01762,Electronics,417.33,2,834.66,UPI,2023-02-24 19:00:00,North
O000176,C00612,Electronics,350.33,4,1401.32,Card,2024-10-25 01:00:00,East
O000177,C01966,Electronics,347.24,5,1736.2,UPI,2024-10-06 02:00:00,South
O000178,C01485,Home,166.29,2,332.58,UPI,2024-07-06 18:00:00,South
O000179,C00642,Electronics,393.87,5,1969.35,Card,2023-10-11 03:00:00,West
O000180,C01792,Sports,450.69,5,2253.45,Wallet,2023-09-30 20:00:00,West
O000181,C01028,Home,113.18,1,113.18,Wallet,2024-10-07 19:00:00,East
O000182,C01241,Clothing,314.62,3,943.86,Card,2024-07-26 06:00:00,North
O000183,C00502,Electronics,199.11,4,796.44,UPI,2024-01-29 16:00:00,North
O000184,C00766,Home,494.83,4,1979.32,UPI,2023-08-01 18:00:00,East
O000185,C00397,Electronics,242.02,1,242.02,Card,2023-05-14 11:00:00,South
O000186,C00870,Home,118.02,4,472.08,Card,2024-07-04 07:00:00,West
O000187,C00794,Books,194.02,1,194.02,Cash,2023-04-22 18:00:00,South
O000188,C00392,Clothing,328.65,4,1314.6,UPI,2023-11-27 02:00:00,South
O000189,C00206,Sports,42.66,4,170.64,Cash,2024-07-06 17:00:00,South
O000190,C01038,Sports,303.78,5,1518.9,UPI,2023-03-31 01:00:00,East
O000191,C01881,Clothing,465.96,1,465.96,Card,2024-05-05 07:00:00,North
O000192,C01577,Books,425.93,4,1703.72,Card,2024-02-26 15:00:00,West
O000193,C00891,Books,38.5,3,115.5,UPI,2023-07-22 02:00:00,South
O000194,C01484,Clothing,496.73,1,496.73,UPI,2024-09-08 03:00:00,West
O000195,C01714,Home,350.87,1,350.87,Card,2023-03-23 13:00:00,South
O000196,C01598,Beauty,85.33,1,85.33,UPI,2024-02-08 13:00:00,East
O000197,C00863,Beauty,11.15,5,55.75,Wallet,2023-02-08 19:00:00,North
O000198,C00742,Sports,89.78,1,89.78,UPI,2023-01-02 23:00:00,East
O000199,C01264,Sports,419.9,5,2099.5,Card,2023-08-29 07:00:00,South
O000200,C00563,Clothing,15.71,3,47.13,Card,2024-04-01 08:00:00,South
O000201,C01020,Beauty,120.41,2,240.82,Cash,2023-07-10 01:00:00,North
O000202,C00095,Electronics,379.87,5,1899.35,Wallet,2024-08-19 02:00:00,East
O000203,C01923,Sports,295.12,4,1180.48,Card,2024-07-20 07:00:00,North
O000204,C01757,Clothing,392.45,1,392.45,Wallet,2024-10-15 08:00:00,North
O000205,C00484,Clothing,374.34,2,748.68,Card,2023-01-29 06:00:00,North
O000206,C01430,Clothing,30.05,5,150.25,Card,2024-05-20 17:00:00,North
O000207,C00230,Beauty,446.79,4,1787.16,Card,2024-08-18 06:00:00,East
O000208,C00748,Electronics,117.38,2,234.76,Card,2024-10-05 04:00:00,North
O000209,C01678,Sports,278.93,3,836.79,Wallet,2023-04-15 22:00:00,North
O000210,C01194,Electronics,323.92,5,1619.6,UPI,2024-07-12 20:00:00,South
O000211,C00540,Electronics,88.47,5,442.35,Card,2024-04-25 06:00:00,South
O000212,C01059,Clothing,488.23,3,1464.69,Wallet,2023-01-09 13:00:00,South
O000213,C00524,Sports,246.64,5,1233.2,Wallet,2023-03-17 05:00:00,South
O000214,C01183,Clothing,33.53,1,33.53,Card,2023-03-30 08:00:00,South
O000215,C01862,Clothing,468.94,5,2344.7,UPI,2024-03-26 21:00:00,South
O000216,C01722,Electronics,295.2,1,295.2,UPI,2024-09-16 15:00:00,West
O000217,C01266,Clothing,351.1,5,1755.5,UPI,2023-03-22 22:00:00,North
O000218,C01109,Beauty,264.96,4,1059.84,UPI,2024-04-03 05:00:00,West
O000219,C01819,Beauty,418.2,4,1672.8,Card,2023-04-28 19:00:00,North
O000220,C00577,Clothing,21.4,2,42.8,Card,2023-11-04 12:00:00,East
O000221,C00681,Sports,137.85,4,551.4,Wallet,2024-04-07 05:00:00,South
O000222,C00556,Beauty,237.48,3,712.44,Wallet,2023-12-23 11:00:00,North
O000223,C01597,Electronics,42.92,2,85.84,Card,2023-07-07 07:00:00,East
O000224,C01976,Books,354.42,4,1417.68,Card,2023-01-11 19:00:00,East
O000225,C01012,Beauty,199.86,1,199.86,Wallet,2023-11-27 09:00:00,South
O000226,C00645,Electronics,139.97,5,699.85,Card,2024-12-28 04:00:00,South
O000227,C00795,Electronics,6.67,4,26.68,Card,2024-05-20 06:00:00,North
O000228,C01051,Beauty,361.32,1,361.32,Card,2023-07-28 01:00:00,West
O000229,C01643,Sports,417.74,2,835.48,Card,2024-11-06 21:00:00,West
O000230,C01579,Electronics,200.55,5,1002.75,Card,2023-11-18 03:00:00,South
O000231,C01363,Clothing,284.29,4,1137.16,UPI,2023-11-09 08:00:00,East
O000232,C01821,Clothing,117.7,2,235.4,Card,2023-09-27 02:00:00,South
O000233,C01981,Home,312.99,4,1251.96,Cash,2023-01-10 12:00:00,East
O000234,C01354,Home,11.01,2,22.02,Cash,2023-07-21 21:00:00,South
O000235,C01663,Beauty,246.88,4,987.52,Cash,2023-03-24 02:00:00,South
O000236,C01529,Clothing,323.88,1,323.88,Wallet,2023-11-28 08:00:00,North
O000237,C01371,Sports,459.5,3,1378.5,UPI,2024-06-01 05:00:00,West
O000238,C01496,Sports,193.76,1,193.76,Card,2023-06-26 03:00:00,West
O000239,C01254,Clothing,383.77,5,1918.85,Card,2024-02-13 16:00:00,East
O000240,C00189,Electronics,300.86,4,1203.44,Card,2024-02-25 09:00:00,South
O000241,C01248,Beauty,463.87,3,1391.61,Card,2024-10-31 15:00:00,North
O000242,C01408,Books,202.2,3,606.6,UPI,2024-03-06 03:00:00,East
O000243,C01400,Sports,162.95,5,814.75,Cash,2023-08-09 05:00:00,West
O000244,C01306,Home,444.14,5,2220.7,Card,2023-09-15 23:00:00,West
O000245,C01981,Electronics,29.38,3,88.14,UPI,2023-09-05 13:00:00,North
O000246,C00632,Sports,72.51,5,362.55,UPI,2023-01-17 16:00:00,East
O000247,C00627,Home,45.79,5,228.95,Card,2024-08-06 10:00:00,East
O000248,C00972,Sports,422.34,4,1689.36,Cash,2023-08-23 23:00:00,North
O000249,C01768,Beauty,10.25,1,10.25,UPI,2024-02-28 22:00:00,South
O000250,C01282,Home,431.52,2,863.04,Card,2024-07-23 23:00:00,North
O000251,C01382,Clothing,228.38,3,685.14,Cash,2024-10-27 21:00:00,East
O000252,C00709,Home,6.99,2,13.98,UPI,2024-02-28 15:00:00,West
O000253,C01479,Electronics,203.81,3,611.43,Card,2024-05-08 13:00:00,West
O000254,C01434,Clothing,97.47,3,292.41,UPI,2023-05-25 08:00:00,East
O000255,C00648,Clothing,314.08,1,314.08,UPI,2024-04-18 22:00:00,South
O000256,C00317,Clothing,341.28,3,1023.84,Card,2023-02-15 07:00:00,East
O000257,C01700,Home,246.33,3,738.99,Wallet,2023-06-11 10:00:00,West
O000258,C01248,Sports,25.06,1,25.06,Cash,2024-03-23 11:00:00,East
O000259,C01842,Home,329.78,5,1648.9,UPI,2023-09-28 19:00:00,South
O000260,C01257,Sports,421.81,2,843.62,UPI,2024-02-04 08:00:00,West
O000261,C00683,Clothing,361.56,3,1084.68,Wallet,2024-02-09 11:00:00,West
O000262,C00663,Books,415.83,1,415.83,Card,2023-04-23 05:00:00,West
O000263,C01998,Electronics,104.25,3,312.75,Cash,2023-05-01 23:00:00,West
O000264,C01850,Electronics,445.0,1,445.0,UPI,2023-09-10 03:00:00,South
O000265,C01397,Sports,164.49,2,328.98,Card,2024-08-21 01:00:00,West
O000266,C01695,Clothing,11.64,4,46.56,UPI,2024-06-11 07:00:00,East
O000267,C01631,Electronics,422.48,5,2112.4,UPI,2023-01-10 04:00:00,North
O000268,C01495,Home,471.2,4,1884.8,Card,2023-09-25 08:00:00,East
O000269,C01256,Sports,329.5,1,329.5,UPI,2023-05-06 12:00:00,South
O000270,C01715,Clothing,119.56,3,358.68,UPI,2023-11-11 08:00:00,North
O000271,C01136,Beauty,129.61,5,648.05,UPI,2023-08-12 14:00:00,West
O000272,C01853,Sports,235.96,2,471.92,Card,2024-10-18 05:00:00,North
O000273,C01520,Books,449.43,5,2247.15,UPI,2023-06-27 20:00:00,West
O000274,C00441,Electronics,79.05,3,237.15,UPI,2024-12-10 03:00:00,North
O000275,C00563,Sports,413.86,4,1655.44,Cash,2024-04-05 15:00:00,South
O000276,C01291,Books,149.19,1,149.19,Wallet,2023-04-25 01:00:00,South
O000277,C01533,Sports,405.25,4,1621.0,Wallet,2024-07-21 15:00:00,East
O000278,C01830,Home,460.53,5,2302.65,Card,2023-04-23 08:00:00,North
O000279,C01409,Clothing,216.61,3,649.83,Wallet,2024-02-08 19:00:00,West
O000280,C01410,Electronics,185.7,1,185.7,Card,2024-04-22 05:00:00,East
O000281,C01136,Sports,402.1,3,1206.3,Card,2023-03-11 00:00:00,East
O000282,C01636,Clothing,267.09,3,801.27,Card,2023-09-27 08:00:00,North
O000283,C01648,Books,343.8,5,1719.0,Wallet,2023-03-21 00:00:00,South
O000284,C00951,Electronics,313.3,4,1253.2,Card,2023-03-29 20:00:00,West
O000285,C01104,Beauty,80.68,3,242.04,Card,2024-01-25 17:00:00,North
O000286,C00698,Beauty,423.17,3,1269.51,Card,2023-01-06 05:00:00,North
O000287,C00112,Electronics,101.91,3,305.73,UPI,2023-06-07 07:00:00,South
O000288,C00001,Clothing,466.48,1,466.48,Wallet,2024-04-23 05:00:00,West
O000289,C00641,Books,129.03,3,387.09,Card,2024-12-08 04:00:00,South
O000290,C00219,Beauty,368.27,3,1104.81,UPI,2023-09-29 22:00:00,South
O000291,C01589,Clothing,145.9,5,729.5,Card,2023-05-15 11:00:00,East
O000292,C00854,Clothing,162.3,3,486.9,Card,2024-01-23 20:00:00,West
O000293,C01759,Sports,158.45,3,475.35,Card,2024-01-11 17:00:00,North
O000294,C01248,Home,375.21,5,1876.05,Card,2024-10-19 18:00:00,North
O000295,C00384,Clothing,280.62,1,280.62,UPI,2024-05-20 15:00:00,North
O000296,C01426,Home,442.06,4,1768.24,Card,2023-10-21 00:00:00,North
O000297,C01661,Electronics,157.15,5,785.75,Wallet,2024-03-10 14:00:00,South
O000298,C01153,Electronics,347.54,1,347.54,Cash,2023-09-11 13:00:00,North
O000299,C01076,Clothing,377.71,4,1510.84,Card,2024-09-16 10:00:00,South
O000300,C01707,Clothing,79.98,3,239.94,Card,2024-06-16 13:00:00,South
O000301,C00729,Clothing,203.29,5,1016.45,UPI,2024-09-16 22:00:00,South
O000302,C01695,Sports,243.99,3,731.97,Card,2024-08-31 03:00:00,West
O000303,C01733,Clothing,181.07,5,905.35,Card,2023-11-27 22:00:00,North
O000304,C01439,Electronics,164.45,4,657.8,Card,2024-11-21 00:00:00,South
O000305,C00246,Clothing,344.78,1,344.78,Cash,2024-12-08 02:00:00,North
O000306,C00835,Beauty,111.85,5,559.25,UPI,2024-11-15 22:00:00,South
O000307,C01462,Clothing,356.15,1,356.15,Card,2023-10-10 09:00:00,East
O000308,C00202,Clothing,467.85,3,1403.55,Card,2023-12-13 23:00:00,West
O000309,C01207,Sports,284.77,3,854.31,Card,2023-08-03 06:00:00,South
O000310,C00122,Beauty,307.66,4,1230.64,Card,2023-12-30 17:00:00,West
O000311,C00400,Electronics,39.12,4,156.48,Card,2024-03-09 09:00:00,East
O000312,C00766,Home,432.92,2,865.84,Wallet,2023-11-27 07:00:00,North
O000313,C00293,Home,146.3,2,292.6,Card,2023-04-17 21:00:00,North
O000314,C00279,Home,309.45,4,1237.8,Card,2024-09-18 01:00:00,East
O000315,C01860,Electronics,489.66,3,1468.98,Card,2023-01-30 11:00:00,West
O000316,C00883,Home,299.77,1,299.77,Card,2023-07-01 15:00:00,South
O000317,C01633,Electronics,363.73,4,1454.92,Cash,2024-06-15 05:00:00,North
O000318,C00197,Sports,225.43,1,225.43,Card,2023-09-13 23:00:00,West
O000319,C00981,Home,34.88,2,69.76,Card,2024-06-09 01:00:00,North
O000320,C01930,Electronics,399.81,1,399.81,Card,2024-06-01 10:00:00,East
O000321,C01534,Books,22.32,4,89.28,Card,2023-09-17 06:00:00,North
O000322,C00751,Electronics,351.83,3,1055.49,Cash,2023-01-24 16:00:00,North
O000323,C00143,Books,16.35,4,65.4,Card,2023-02-09 10:00:00,South
O000324,C00608,Sports,431.84,5,2159.2,Card,2024-05-24 20:00:00,East
O000325,C01224,Electronics,83.03,5,415.15,Card,2023-12-10 11:00:00,North
O000326,C01147,Electronics,259.56,5,1297.8,UPI,2024-07-05 07:00:00,East
O000327,C00186,Beauty,300.59,3,901.77,UPI,2024-05-08 19:00:00,North
O000328,C01349,Electronics,231.48,4,925.92,UPI,2024-10-27 14:00:00,South
O000329,C00463,Electronics,173.68,5,868.4,Card,2024-07-29 15:00:00,South
O000330,C01372,Clothing,236.57,4,946.28,Cash,2024-06-01 18:00:00,East
O000331,C01794,Home,159.15,2,318.3,Card,2024-10-26 21:00:00,West
O000332,C00659,Sports,221.87,5,1109.35,UPI,2023-01-10 17:00:00,North
O000333,C00763,Electronics,182.66,5,913.3,UPI,2024-06-07 23:00:00,North
O000334,C00954,Clothing,285.27,3,855.81,UPI,2024-08-21 12:00:00,West
O000335,C01955,Electronics,122.77,4,491.08,Card,2024-01-24 09:00:00,South
O000336,C00402,Electronics,494.38,3,1483.14,Card,2024-12-09 07:00:00,South
